,method,best_Jaccard_index_for_cluster
398,Hotspot (n_neighbors=30),0.09166666666666666
399,Hotspot (n_neighbors=30),0.1268958543983822
400,Hotspot (n_neighbors=30),0.08610201216658868
401,Hotspot (n_neighbors=30),0.06872852233676977
402,Hotspot (n_neighbors=300),0.04543257612373127
403,Hotspot (n_neighbors=300),0.035559827006247
404,Hotspot (n_neighbors=300),0.054901960784313725
405,Hotspot (n_neighbors=300),0.04619289340101523
406,Hotspot (n_neighbors=300),0.08789153810191679
407,Hotspot (n_neighbors=300),0.04199604743083004
408,nsNMF,0.02608695652173913
409,nsNMF,0.021505376344086023
410,nsNMF,0.06764705882352941
411,nsNMF,0.01948368241597662
412,nsNMF,0.05750350631136045
413,nsNMF,0.016486104569006125
414,SingleCellHaystack (k=3),0.1102077687443541
415,SingleCellHaystack (k=3),0.09891107078039928
416,SingleCellHaystack (k=3),0.07398334149926507
417,SingleCellHaystack (k=3),0.047968885047536734
418,SingleCellHaystack (k=3),0.14727996461742593
419,SingleCellHaystack (k=3),0.10004568296025583
420,SingleCellHaystack (k=5),0.07440336920917173
421,SingleCellHaystack (k=5),0.06688341848583372
422,SingleCellHaystack (k=5),0.07398334149926507
423,SingleCellHaystack (k=5),0.03784295175023652
424,SingleCellHaystack (k=5),0.09296148738379814
425,SingleCellHaystack (k=5),0.07016683022571148
426,SingleCellHaystack (k=6),0.07440336920917173
427,SingleCellHaystack (k=6),0.03672456575682382
428,SingleCellHaystack (k=6),0.07398334149926507
429,SingleCellHaystack (k=6),0.03784295175023652
430,SingleCellHaystack (k=6),0.0718562874251497
431,SingleCellHaystack (k=6),0.07016683022571148
432,SPIRAL (Jaccard index=0.05),0.1620795107033639
433,SPIRAL (Jaccard index=0.05),0.09198813056379822
434,SPIRAL (Jaccard index=0.05),0.2791154791154791
435,SPIRAL (Jaccard index=0.05),0.05254378648874062
436,SPIRAL (Jaccard index=0.05),0.23486328125
437,SPIRAL (Jaccard index=0.05),0.08403716216216216
438,SPIRAL (Jaccard index=0.5),0.2243362831858407
439,SPIRAL (Jaccard index=0.5),0.1938259109311741
440,SPIRAL (Jaccard index=0.5),0.2791154791154791
441,SPIRAL (Jaccard index=0.5),0.21534063839923773
442,SPIRAL (Jaccard index=0.5),0.23486328125
443,SPIRAL (Jaccard index=0.5),0.19953051643192488
444,SPIRAL (Jaccard index=0.75),0.2243362831858407
445,SPIRAL (Jaccard index=0.75),0.1938259109311741
446,SPIRAL (Jaccard index=0.75),0.2791154791154791
447,SPIRAL (Jaccard index=0.75),0.21534063839923773
448,SPIRAL (Jaccard index=0.75),0.23486328125
449,SPIRAL (Jaccard index=0.75),0.19953051643192488
450,Seurat,0.06991869918699187
451,Seurat,0.062197092084006464
452,Seurat,0.1316013628620102
453,Seurat,0.09477521263669501
454,Seurat,0.1096128751631144
455,Seurat,0.06990881458966565
456,Slingshot+tradeSeq (nPoints=20),0.08151898734177215
457,Slingshot+tradeSeq (nPoints=20),0.07735368956743002
458,Slingshot+tradeSeq (nPoints=20),0.034760705289672546
459,Slingshot+tradeSeq (nPoints=20),0.029263831732967534
460,Slingshot+tradeSeq (nPoints=20),0.1015625
461,Slingshot+tradeSeq (nPoints=20),0.037378392217101895
462,Slingshot+tradeSeq (nPoints=200),0.0860323886639676
463,Slingshot+tradeSeq (nPoints=200),0.05657492354740061
464,Slingshot+tradeSeq (nPoints=200),0.03929471032745592
465,Slingshot+tradeSeq (nPoints=200),0.029653284671532845
466,Slingshot+tradeSeq (nPoints=200),0.10395314787701318
467,Slingshot+tradeSeq (nPoints=200),0.050204918032786885
468,Hotspot (n_neighbors=30),0.16522182559918408
469,Hotspot (n_neighbors=30),0.06833248342682305
470,Hotspot (n_neighbors=30),0.042821158690176324
471,Hotspot (n_neighbors=30),0.09838472834067548
472,Hotspot (n_neighbors=30),0.3134474327628362
473,Hotspot (n_neighbors=30),0.2150482968988307
474,Hotspot (n_neighbors=300),0.07040816326530612
475,Hotspot (n_neighbors=300),0.02626641651031895
476,Hotspot (n_neighbors=300),0.03877139979859013
477,Hotspot (n_neighbors=300),0.06856023506366307
478,Hotspot (n_neighbors=300),0.11296660117878192
479,Hotspot (n_neighbors=300),0.030240902101486417
480,nsNMF,0.02806122448979592
481,nsNMF,0.017638412542871143
482,nsNMF,0.038267875125881166
483,nsNMF,0.017510648367250355
484,nsNMF,0.05844793713163065
485,nsNMF,0.017346938775510204
486,SingleCellHaystack (k=3),0.09669698420296793
487,SingleCellHaystack (k=3),0.08192990441511151
488,SingleCellHaystack (k=3),0.08232445520581114
489,SingleCellHaystack (k=3),0.04835258878904578
